Modulo,Proceso,Area,Accion,Problema,Solucion,CausaRaiz,CausaGeneral
"TAR","Análisis IPERC / AST","Técnico de Seguridad","Consultas","Cuando quiero revisar IPERC y AST a mi me aparece desordenada las actividades, y el proveedor si lo tienen en orden.","Problema: El usuario manuel.gomezc@kof.com.mx (Técnico) reporta que las actividades del IPERC/AST aparecen desordenadas, dificultando la revisión frente a la vista del contratista.

Causa: La vista de tabla por defecto no respetaba el orden secuencial de carga.

Solución: Se agregó la columna ""N°"" a la tabla. Se instruyó al usuario hacer clic en el encabezado de dicha columna para ordenar las filas numéricamente.","Configuración","Incidencias Técnicas"
"ON Boarding","","Contratista","","No nos emite el certificado de inducción","Problema: El contratista reporta que el sistema no emite el certificado de inducción para la empresa con RFC DOA190521LL1.

Causa: Se requiere realizar una trazabilidad manual del perfil del trabajador para identificar por qué no se activó la descarga automática y proceder con el envío manual.

Solución: Se solicitó al usuario el Nombre y NSS del personal afectado para localizar el registro en el sistema y realizar el reenvío del certificado una vez validado.","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","No me acepta mi rfc","Problema: El usuario contacto@gruasindustrialesiecsa.com reporta que el sistema no acepta su RFC UUMD7209056W7.

Causa: No se pudo replicar el error (el RFC funciona correctamente en pruebas). Posible error de capa 8 (espacios) o navegador.

Solución: Se informó que el RFC es válido y se solicitó captura de pantalla del error para diagnóstico.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Contratista","Borrar/Eliminar","se cargo como uc irapuato y tiene que ser como mega irapuato, ademas se duplico la oc","Problema: La usuaria alejandraramosr75@gmail.com reporta error de asignación de UO (UC Irapuato en vez de Mega Irapuato) y duplicidad de la OC 8331163490.

Causa: Error de captura del usuario.

Solución: Se corrigió la Unidad Operativa en base de datos y se eliminó el registro duplicado. Se instruyó refrescar la página (F5).","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Procedimiento Operativo (Alcance )","Contratista","Consultas","Buenas noches, levante un ticket sobre la unidad operativa Encierro Ciel ya que dentro de la plataforma no se puede visualizar, no eh podido cargar informacion para el servicio pendiente","Problema: El usuario rhm_ihesa@yahoo.com.mx reporta que no visualiza la UO ""Encierro Ciel"" para cargar información de la OC 5501169644.

Causa: La Unidad Operativa no existe en el catálogo del sistema (Solicitud de Nueva UO).

Solución: Se escaló a Desarrollo para el alta de la nueva UO. Se dio un ETA de martes PM / miércoles AM y se proporcionó contacto directo de WhatsApp.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Análisis IPERC / AST","Ejecutivo de Seguridad","Accesos (visualización/plataforma)","Comenta el proveedor que no le permite seguir los pasos en la plataforma","Problema: El usuario MAURICIO.CRUZ@KOF.COM reporta que el contratista no puede avanzar y adjunta evidencia de IPERC no visible (OC 8331158637).

Causa: Retraso en la sincronización visual (latencia de 1-2 min) o falta de refresco de página.

Solución: Se validó que el IPERC ya es visible. Se aclaró que el proyecto ya avanzó a la etapa de ""Permisos de Trabajo"" y ""Evaluación Diaria"". Se instruyó actualizar la página (F5).","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Otro","Contratista","Accesos (visualización/plataforma)","Al personal de KOF seguridad, no le aparece nada de mi información subida en plataforma (alcance, iperc, personal asociado, plan de rescate), ni un colaborador asociado Julio Cesar Guillen Cuandon (falta asociar a un último Carlos Hernan Hernandez Machuca)","Problema:
El personal de Seguridad KOF no puede visualizar la información cargada (Alcance, IPERC, Plan de Rescate y personal asociado) y falta asociar a un colaborador.

Causa:
El sistema trabaja por etapas (candadeo de procesos). Si una fase no está aprobada, la siguiente no se muestra. Además, puede faltar la correcta asociación de algún colaborador al proyecto.

Solución:
Verificar que todos los colaboradores estén dados de alta y asociados al proyecto.
Asegurarse de que el Alcance esté aprobado para que se desbloquee la visualización de la IPERC y demás procesos.
Una vez aprobado cada paso, la información será visible para Seguridad.","Capacitación","Incidencias de Usuario"
"TAR","Otro","Técnico de Seguridad","Revisión de información ingresada/sistema","Este proyecto ya se había concluido en la plataforma el pasado viernes 13/02/2026; sin embargo hoy llega correo informando que esta pendiente el cierre","Problema:
El usuario indica que el proyecto fue concluido en plataforma el día 13/02/2026; sin embargo, recibió un correo notificando que el cierre se encuentra pendiente.

Causa:
Aunque el proyecto fue marcado como concluido, quedaron elementos pendientes de aprobación, específicamente un permiso de trabajo y la evaluación final. El sistema envía recordatorios automáticos cuando existen pendientes relacionados con el cierre administrativo del proyecto.

Solución:
Se informa al usuario que únicamente debe validar y aprobar el permiso de trabajo pendiente, así como completar la evaluación final.
Una vez realizadas estas acciones, el proceso quedará completamente cerrado y dejarán de generarse notificaciones automáticas.","Capacitación","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","Erré el número de seguridad social.","Problema: La usuaria maria.gil@globalfl.com.mx solicita corregir el NSS del trabajador Carlos Hernán Hernández Machuca (actual: 4129013548).

Causa: Error de captura y restricción del sistema para editar campos llave.

Solución: Se confirmó la identificación del trabajador y se solicitó a la usuaria proporcionar el NSS correcto por correo para proceder con la edición.","Eliminación/Baja",""
"TAR","Documentación General","Contratista","Borrar/Eliminar","Eliminación de arcvos de Ivan  Almazan  Guitierez IVAN,  4.-DC3 AALMAZAN GITIERREZ IVAN, 7.- DC5 MUGUEL ANGEL HERNANDEZ","Problema: El usuario arnulfovega267@gmail.com (Técnico) solicita eliminar archivos específicos (DC3 y DC5) de dos trabajadores en la OC 5501166735.

Causa: Solicitud manual para corrección de documentos.

Solución: Se eliminaron los archivos indicados en la base de datos. Se instruyó al técnico sobre el uso del botón ""Rechazar"" para autogestionar estos casos en el futuro.","Eliminación/Baja",""
"TAR","Plan de rescate","Contratista","Borrar/Eliminar","Adjunte un archivo erroneo en el plan de respuesta de emergencia es el archivo que dice P.O CD VALLES","Problema: El usuario rhm_ihesa@yahoo.com.mx solicita eliminar el archivo ""P.O CD VALLES"" cargado por error en ""Plan de Rescate"".

Causa: Error de carga del usuario.

Solución: Se eliminó el archivo solicitado. Se instruyó al usuario sobre la función de sobrescritura para agilizar futuros procesos.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Análisis IPERC / AST","Contratista","Accesos (visualización/plataforma)","YA TENEMOS ARRIBA LA DOCUMENTACION PERO COMENTA EL USUARIO O VALIDDADOR QUE NO LE APARECE LA DOCUMENTACION O VENTANA","Problema: El usuario seguridad.sc@mapris.com.mx reporta que el validador de UO Comitán no visualiza la documentación IPERC cargada (OC 8331114685).

Causa: Problema de visualización o gestión del lado del Técnico.

Solución: Soporte contactó vía correo al Técnico de UO Comitán para asistirlo en la visualización y reactivar el flujo de aprobación.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Contratista","Accesos (visualización/plataforma)","Se enviaron los documentos solicitados een los apartados de Alta y documantación general sin embargo, no se logro ver la información por Seguridad Planta","Problema: El usuario seguridadlaboral@gruporemace.com reporta que Seguridad no visualiza la documentación de la OC 5501165133.

Causa:

Flujo Incorrecto: Registraron el proyecto antes que la empresa (el sistema lo dio de baja automáticamente al no detectar RFC asociado).

Error de Sede: Registraron en ""Planta Morelia"" en lugar de ""UO Morelia"".

Solución: Se reactivó el registro en la BD vigente y se corrigió la unidad operativa. Se instruyó refrescar la página (F5).","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Plan de rescate","Técnico de Seguridad","Otro","El contratista comenta que ya cargó la información del plan de rescate pero a mi como seguridad de KOF  no me aparece el plan","Problema: El usuario emmanuel.ferreyra@kof.com no visualiza el ""Plan de Rescate"" a pesar de que el contratista ya lo cargó.

Causa: El flujo del proyecto es secuencial y está detenido en ""Matriz IPERC"". Al no estar aprobada la etapa previa, la siguiente (Plan de Rescate) no se muestra.

Solución: Se explicó al técnico el funcionamiento del flujo secuencial. Se le instruyó aprobar primero la Matriz IPERC para desbloquear la visualización del Plan de Rescate.","Capacitación","Incidencias de Usuario"
"TAR","Alta de proyecto","Contratista","Modificar/editar","DESEAMOS MODIFICAR EL CORREO, YA QUE NO PERTENECE AL AREA CORRESPONDIENTE QUE SERA A ENCARGADA DE SUBRIR LA INFORMACION EN ESTA PLATAFORMA.","Problema: El usuario proyectos2@alconconstrucciones.com.mx solicita cambiar el correo de contacto del proyecto OC 5501165895.

Causa: El correo actual no pertenece al área responsable de la carga de información.

Solución: Se solicitó al usuario proporcionar el nuevo correo electrónico para realizar la actualización en la base de datos.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Alta de proyecto","Contratista","Modificar/editar","EL NOMBRE DEL REPRESENTANTE LEGAL, ESTA MAL ESCRITO.","Problema: El usuario proyectos2@alconconstrucciones.com.mx reporta que el nombre del Representante Legal está mal escrito en el alta de proyecto (OC 5501165895).

Causa: Error de captura inicial.

Solución: Se solicitó al usuario proporcionar el nombre correcto por correo para proceder con la edición en el sistema.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Documentación General","Contratista","Revisión de información ingresada/sistema","El estatus de la docuemntación sigue como pendiente a pesar de que ya realicé la carga de los documentos correspondientes. NOTA: no pertenecemos a una unidad operativa por el momento.","Problema: La usuaria ana.medina@grupobaysa.com.mx reporta que sus documentos siguen ""Pendientes"" y no cambian de estatus.

Causa: La contratista no tiene proyecto/OC vinculado a ninguna UO. Sin vinculación, no hay técnico asignado que pueda ver o aprobar la información.

Solución: Se explicó el flujo del sistema: se requiere una asociación a una UO para que un técnico pueda gestionar la validación.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Revisión de información ingresada/sistema","La Ing. Mayra de seguridad de Puente de Ixtla me comenta que no puede visualizar el listado de mi personal ni su documentación. Nosostros ya la tenemos cargada en la plataforma, si pudieran apoyarme con el seguimiento por favor.","Problema: El usuario ignaciolopezislas31@gmail.com reporta que Seguridad no ve al personal bajo la OC 4402150937.

Causa: El usuario referenciaba una OC incorrecta. Su OC real es 5501171007, la cual se encuentra vacía (sin personal asociado).

Solución: Se aclaró que la OC correcta es la 5501171007 y se instruyó al usuario realizar la asociación de trabajadores en dicho proyecto para que sean visibles.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Listado de Personal","Técnico de Seguridad","Altas/Bajas de personal","No se refleja la alta del personal del proyecto","Problema: La usuaria mayra.ramirez@kof.com reporta que no visualiza el personal en el proyecto OC 5501171007, a pesar de que el contratista indica haberlos dado de alta.

Causa: El contratista realizó el alta general del personal, pero no realizó la asociación específica al proyecto (paso faltante en el flujo del contratista).

Solución: Se explicó a la técnico que el contratista debe realizar la vinculación manual de los trabajadores al proyecto para que sean visibles en la UO Puente de Ixtla.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Precalificación Out Site","Técnico de Seguridad","Otro","Realicé los formularios de precalificación out site y no se guardó ninguno","Problema: El usuario emmanuel.ferreyra@kof.com (Técnico Seguridad) reporta que no se guardan los formularios de ""Precalificación Out Site"".

Causa:

El flujo del proyecto está trabado en la etapa anterior (falta aprobar ítems en Matriz IPERC).

Error de captura en la OC (Registrada: 2301206 vs Real: 23012026).

Solución: Se instruyó al usuario completar la aprobación del IPERC para desbloquear el siguiente módulo. Se notificó el error de dedo en la OC para futura corrección si es necesario.","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","SE APROBO EL EXAMEN DE CAPACITACION DE CURSO DE INDUCCION A CONTRATISTAS DEL PERSONAL SERGIO MUNZUETA MEDRANO PERO NO PUEDO DESCARGAR LA CONSTANCIA DE CERTIFICACION ME MARCA ERROR, AL RECIBIR CORREO ELECTRONICO NO ESTA EL ARCHIVO ADJUNTO PDF.","Problema: El usuario contacto@hotmail.com  no puede descargar la constancia de Sergio Munzueta Medrano y el correo llega sin adjunto.

Causa: Perfil incompleto (Falta fotografía), lo que impide la generación del PDF.

Solución: Se reiteró la necesidad de completar el perfil con foto en https://entersys.mx/actualizar-perfil para que el sistema pueda generar y enviar el certificado.","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","SE APROBO EL EXAMEN DE SERGIO MUNZUETA MEDRANO PERO NO PUEDO DESCARGAR LA CONSTANCIA DE CERTIFICACION ME MARCA ERROR.","Problema: El usuario contacto@hotmail.com reporta error al descargar la constancia de Sergio Unzueta Medrano tras aprobar el examen.

Causa: Perfil incompleto (Falta fotografía del trabajador).

Solución: Se proporcionó el link de actualización de perfil (https://entersys.mx/actualizar-perfil). Se indicó que al subir la foto, el certificado se enviará automáticamente.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Plan de rescate","Contratista","Borrar/Eliminar","por correcciones de tecnico de coca seguridad me podria apoyar en eliminar el plan de rescate de fecha de 12/02/2026 porfavor","Problema: El usuario arconsindustry@gmail.com solicita eliminar el ""Plan de Rescate"" con fecha 12/02/2026 para subir correcciones.

Causa: Solicitud manual del usuario.

Solución: Se eliminó el archivo solicitado. Se instruyó al usuario refrescar la página (F5) para cargar el nuevo.","Eliminación/Baja",""
"TAR","Análisis IPERC / AST","Contratista","Revisión de información ingresada/sistema","No se refleja el alcance de unidad cedis norte, para poder subir el IPERC.","Problema: La usuaria maria.gil@globalfl.com.mx reporta que no se visualiza el ""Alcance"" para subir el IPERC en la OC 8331163090.

Causa: Retraso en la sincronización de la vista o caché del navegador.

Solución: Se validó que el módulo ya está activo y visible en el sistema. Se instruyó a la usuaria actualizar la página (F5) para forzar la visualización.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Modificar/editar","Necesito editar el número de seguridad social, de un colaborador, por favor.","Problema: La usuaria maria.gil@globalfl.com.mx solicita editar el NSS del colaborador Julio César Guillén.

Causa: Restricción del sistema (el usuario no puede editar campos llave).

Solución: Se explicó el procedimiento y se solicitaron los datos exactos en texto (NSS Incorrecto vs. NSS Correcto) para proceder con la actualización en la base de datos sin errores.","Datos (información incorrecta)","Incidencias de Usuario"
"ON Boarding","","Contratista","","No pude descargarlo y me mandó que ya no podía entrar porque ya había hecho el curso entonces y como no puedo entrar a mi correo no lo puedo descargar me pueden ayudar por favor","Se hizo el cambio de su correo y se reenvio la certificación al correo solicitado","",""
"TAR","Listado de Personal","Contratista","Revisión de información ingresada/sistema","La liberación del personal comenta no validad por experiencia. Me apoyan con sus comentarios, por favor.","Problema:
El colaborador con NSS 09200553957 no es liberado en el sistema y aparece la leyenda “no valida por experiencia”.

Causa:
Al revisar en sistema, el colaborador cuenta con 21 años de edad. Para realizar actividades de riesgo, la plataforma requiere una edad mínima de 24 años, por lo que automáticamente no permite su validación.

Solución:
Se informa al usuario que el colaborador no puede ser habilitado para actividades de riesgo debido a que no cumple con la edad mínima establecida por el sistema. Será necesario asignarlo a actividades que no requieran este criterio o considerar un colaborador que cumpla con la edad requerida.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Permisos de Trabajo","Contratista","Borrar/Eliminar","buenas tardes, podrían eliminar el permiso de trabajo ingresado el día de hoy viernes 13 por favor, ya que se ingresaron datos equivocados. muchas gracias.","Problema: El usuario direccionadministrativa@solucionessdc.com solicita eliminar un Permiso de Trabajo generado hoy (viernes 13) por datos erróneos.

Causa: Error de captura del usuario (User Error).

Solución: Se eliminó el permiso solicitado en la base de datos. Se instruyó al usuario generar uno nuevo tras actualizar su pantalla (F5).","Eliminación/Baja",""
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","En repetidos proyectos el sr eduardo Alfonso Lopez Rodriguez aparece como pendiente en el listado de personal, matriz CAPA y en esta ocación uo panuco no lo puede visualizar en mis colaboradores asociados al proyecto, a este personal solo se le solicita trabajar a nivel 0 , no tiene competencia cargada para trabajos de alto riesgo","Problema: El usuario reporta que UO Pánuco no puede visualizar al personal (Sr. Eduardo López) ni el proyecto de la OC 4402145713.

Causa: El proyecto fue dado de alta erróneamente en la UO Ciudad Valles, por lo que Pánuco no tiene permisos sobre él.

Solución: Se informó al usuario la discrepancia de sedes. Se solicitó confirmación para realizar el cambio de UO Valles a UO Pánuco en la base de datos si corresponde.","Capacitación","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Revisión de información ingresada/sistema","Requiero asociar dos personas al proyecto de planta Apizaco pero me dice que los numeros de seguro social no corresponden al listado del personal, pero en el listado de  personal si aparecen . Me podrian ayudar a revisar cual es la falla","Problema: El contratista no puede asociar personal a la OC 5501165067 en Planta Apizaco por error de ""NSS no corresponde"", aun cuando el personal sí aparece en su lista general.

Causa: Existencia de un proceso de baja previo mal finalizado o en curso, lo que dejó el registro de los trabajadores en un ""limbo"" administrativo que bloqueaba nuevas asociaciones.

Solución: Se gestionó la baja administrativa para limpiar el historial y reactivar a los trabajadores, permitiendo así su asociación exitosa al proyecto actual.","",""
"TAR","Alta de proyecto","Técnico de Seguridad","Revisión de información ingresada/sistema","YA NO PUEDO VISULIZAR ESTE PROYECTO  EN LA BVASE DE LA UNIDAD OPERATIVA","Problema: El usuario de seguridad no visualiza el proyecto de la OC 4402145712 en la base de la UO Panuco.

Causa: El proyecto fue dado de baja, lo que provoca que desaparezca de la base de datos de proyectos activos/vigentes.

Solución: Se notificó el estatus de baja y se ofrecieron dos alternativas: que el contratista lo capture de nuevo o realizar la restauración manual de los datos borrados a datos vigentes previa solicitud. 18/02/2026 sin respuesta se cierra ticket","Otros","Otros"
"TAR","Documentación General","Contratista","Modificar/editar","El sr Luis Fernando castillo tiene por nss 809139573399 en la alta cuando el correcto es 09139573399, necesito se corrija al ultimo numero enviado para poder darle acceso","Problema: Error de dedo en el registro de NSS del trabajador Luis Fernando Castillo (NSS incorrecto: 809139573399), lo que impide su acceso en la UO Panuco.

Causa: Registro de un dígito excedente al inicio del número de seguridad social durante el proceso de documentación.

Solución: Modificación manual del NSS en la base de datos/plataforma al número correcto (09139573399) para habilitar el alta del personal.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","En mi plataforma yo como contratista realice la vinculacion al proyecto de mi personal pero supervisión seguridad planta no puede visualizar la información en la plataforma","Problema: El usuario gerencia@argams.mx reporta que vinculó personal al proyecto (OC 4402145712), pero el Supervisor de Seguridad no puede visualizar la información en su plataforma.

Causa: Posible desincronización o caché del evaluador. Falta información específica (NSS) para validar si el registro falló.

Solución: Se informó que en BD sí aparecen registros. Se solicitó el listado puntual (Nombre y NSS) de los ""invisibles"" para rastrear el error. Se sugirió refrescar la página (F5) al Supervisor.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","He asociado au un collaborador al proyecto en Cd. Hidalgo y sigue sin aparecer en el listado del personal asociado","Problema: El usuario lonas_hergo@hotmail.com reporta que asoció a un colaborador en UO Cd. Hidalgo pero no aparece en el listado.

Causa: Falta de información para el diagnóstico (El usuario no proporcionó nombre ni NSS). Posible tema de caché.

Solución: Se solicitó amablemente el Nombre y NSS del trabajador para poder realizar la trazabilidad en el sistema. Se sugirió refrescar la página (F5) como primera medida. comparte nss se realiza trazabilidad y el nss lo registraron mal por eso no aparecia en su plataforma , se pide ser cuidadosos al registrar información","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Plan de rescate","Contratista","Borrar/Eliminar","solocito su apoyo para eliminar los dos archivos que se encuentran en el apartado de archivos","Problema: El usuario auxiliar1@fireandcontrols.com solicita eliminar nuevamente archivos (2 documentos) en el apartado ""Plan de Rescate"".

Causa: Error de carga o limpieza de documentos por parte del usuario.

Solución: Se eliminaron los archivos solicitados en la base de datos. Se reiteró al usuario la funcionalidad de sobrescritura para evitar futuros tickets repetitivos.","Eliminación/Baja",""
"TAR","Listado de Personal","Contratista","Borrar/Eliminar","DE SU APOYO PARA ELIMINAR LOS ARCHIVOS QUE EN LAS IMAGENES ADJUNTAS SE MUESTRAN, SON DC3 VENCIDOS POR LO QUE YA NO ES NECESARIO TENERLOS, OJO HAY UNA ARCHIVO DE DC3 ACTUALIZADOS ESE DEBE QUEDARSE PARA SU REVISION","Problema: El usuario SEGURIDAD@GRUPOSEMAIN.COM solicita eliminar archivos DC3 vencidos basándose en capturas de pantalla, preservando solo el archivo actualizado.

Causa: Limpieza y actualización de expediente por parte del usuario.

Solución: Se eliminaron los documentos indicados y se respetó el archivo vigente. Se instruyó al usuario incluir siempre el NSS en futuros tickets para agilizar la búsqueda en base de datos.","Eliminación/Baja",""
